trial_index,arm_name,trial_status,generation_method,result,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,Sobol,0.328986975397973946400043132599,878,163,True
1,1_0,COMPLETED,Sobol,0.326261456825856277497166502144,951,62,False
2,2_0,COMPLETED,Sobol,0.325504100337674850962343953142,129,145,False
3,3_0,COMPLETED,Sobol,0.328986975397973946400043132599,117,132,True
4,4_0,COMPLETED,Sobol,0.318234442836468844895136953710,924,86,False
5,5_0,COMPLETED,Sobol,0.328986975397973946400043132599,405,235,True
6,6_0,COMPLETED,Sobol,0.318253738543174180541939222167,819,46,False
7,7_0,COMPLETED,Sobol,0.275318379160636728109068371850,151,86,False
8,8_0,COMPLETED,Sobol,0.296362759286058818908315970475,357,38,False
9,9_0,COMPLETED,Sobol,0.319447660395561938706521232234,977,97,False
10,10_0,COMPLETED,Sobol,0.328986975397973946400043132599,116,54,True
11,11_0,COMPLETED,Sobol,0.328986975397973946400043132599,371,126,True
12,12_0,COMPLETED,Sobol,0.328986975397973946400043132599,212,123,True
13,13_0,COMPLETED,Sobol,0.328986975397973946400043132599,287,35,True
14,14_0,COMPLETED,Sobol,0.328986975397973946400043132599,685,96,True
15,15_0,COMPLETED,Sobol,0.305517366136034751455952118704,507,161,False
16,16_0,COMPLETED,Sobol,0.328986975397973946400043132599,123,42,True
17,17_0,COMPLETED,Sobol,0.347255185721177084268163071101,209,105,False
18,18_0,COMPLETED,Sobol,0.292507235890014483103982456669,270,167,False
19,19_0,COMPLETED,Sobol,0.302040520984081073407878648140,486,132,False
20,20_0,COMPLETED,BoTorch,0.274843222383019725185704373871,152,25,False
21,21_0,COMPLETED,BoTorch,0.301420646406174608245009949314,441,218,False
22,22_0,COMPLETED,BoTorch,0.300529425952725470772008975473,390,250,False
23,23_0,COMPLETED,BoTorch,0.328986975397973946400043132599,1000,250,True
24,24_0,COMPLETED,BoTorch,0.328986975397973946400043132599,1000,25,True
25,25_0,COMPLETED,BoTorch,0.299066570188133096230842511432,440,25,False
26,26_0,COMPLETED,BoTorch,0.292056198745779038716818831745,318,78,False
27,27_0,COMPLETED,BoTorch,0.328986975397973946400043132599,100,250,True
28,28_0,COMPLETED,BoTorch,0.300810419681620810905542384717,451,160,False
29,29_0,COMPLETED,BoTorch,0.321953690303907413827744221635,1000,25,False
30,30_0,COMPLETED,BoTorch,0.300009647853352601210019656719,442,104,False
31,31_0,COMPLETED,BoTorch,0.303680656054027942047923716018,466,71,False
32,32_0,COMPLETED,BoTorch,0.296224071394114774058436978521,404,107,False
33,33_0,COMPLETED,BoTorch,0.293312831644959026711205751781,305,39,False
34,34_0,COMPLETED,BoTorch,0.293535938253738581948937280686,302,50,False
35,35_0,COMPLETED,BoTorch,0.366292812349252261405752051360,100,250,False
36,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
37,37_0,COMPLETED,BoTorch,0.286560540279787723250137787545,289,25,False
38,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
39,39_0,COMPLETED,BoTorch,0.328986975397973946400043132599,1000,65,True
40,40_0,COMPLETED,BoTorch,0.301731789676796924304369440506,426,148,False
41,24_0,COMPLETED,BoTorch,0.328986975397973946400043132599,1000,25,True
42,42_0,COMPLETED,BoTorch,0.307696575012059825304788773792,581,236,False
43,43_0,COMPLETED,BoTorch,0.304446454413892952928222257469,563,151,False
44,44_0,COMPLETED,BoTorch,0.302655571635311093636744317337,448,226,False
45,45_0,COMPLETED,BoTorch,0.308854317414375301176221455535,570,235,False
46,27_0,COMPLETED,BoTorch,0.328986975397973946400043132599,100,250,True
47,47_0,COMPLETED,BoTorch,0.291746261456825806135384482332,310,250,False
48,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
49,49_0,COMPLETED,BoTorch,0.328986975397973946400043132599,956,69,True
50,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
51,24_0,COMPLETED,BoTorch,0.328986975397973946400043132599,1000,25,True
52,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
53,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
54,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
55,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
56,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
