trial_index,arm_name,trial_status,generation_method,generation_node,VAL_LOSS,RAM_USAGE,RUNTIME,lr,epochs,val_split,width_height
0,0_0,COMPLETED,Sobol,GenerationStep_0,1.466199999999999947775108921633,635.549999999999954525264911353588,77.000000000000000000000000000000,0.077261930704116826840177623126,35,0.013535645613446832188908608430,7
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.202300000000000007593925488436,649.399999999999977262632455676794,92.000000000000000000000000000000,0.008628256618976593017578125000,46,0.174426218504086127936147931905,14
2,2_0,COMPLETED,Sobol,GenerationStep_0,1.525099999999999900168745625706,637.250000000000000000000000000000,66.000000000000000000000000000000,0.046605218946933750501226967344,31,0.129472439689561708009435392341,11
3,3_0,COMPLETED,Sobol,GenerationStep_0,1.539299999999999890576418692945,653.159999999999968167685437947512,78.000000000000000000000000000000,0.064288042113184937220715653439,42,0.294681384889408926053278037216,18
4,4_0,COMPLETED,Sobol,GenerationStep_0,1.530699999999999949551465761033,658.519999999999981810105964541435,64.000000000000000000000000000000,0.056634531356394290924072265625,33,0.194832742512226098074989977249,19
5,5_0,COMPLETED,Sobol,GenerationStep_0,3.286700000000000176925141204265,638.230000000000018189894035458565,100.000000000000000000000000000000,0.026222207210958005385581515156,44,0.065581549629569052539679319125,10
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.669000000000000039079850466806,649.700000000000045474735088646412,66.000000000000000000000000000000,0.013466378115117550243184929570,39,0.237986134681850675098857550438,15
7,7_0,COMPLETED,Sobol,GenerationStep_0,1.525400000000000089173113337893,637.159999999999968167685437947512,100.000000000000000000000000000000,0.094393436051905157957442327188,50,0.113620117921382171588540188623,6
8,8_0,COMPLETED,Sobol,GenerationStep_0,1.537199999999999899813474257826,636.639999999999986357579473406076,61.000000000000000000000000000000,0.092176853492856036798031027502,31,0.259998340215533974006945072688,9
9,9_0,COMPLETED,Sobol,GenerationStep_0,1.432099999999999928590455056110,664.519999999999981810105964541435,84.000000000000000000000000000000,0.021932936459779742155440374063,40,0.098966200333088630292088794249,20
10,10_0,COMPLETED,Sobol,GenerationStep_0,1.106500000000000039079850466806,640.700000000000045474735088646412,76.000000000000000000000000000000,0.034955353289842609754156654844,37,0.217128574661910517251683927498,5
11,11_0,COMPLETED,Sobol,GenerationStep_0,1.516499999999999959143792693794,652.070000000000050022208597511053,108.000000000000000000000000000000,0.054151408746838575192228404376,47,0.051777924187481401407939785031,16
12,12_0,RUNNING,Sobol,GenerationStep_0,,,,0.074535207636654374208085016562,39,0.151064099213108427033347425095,13
