start_time,end_time,run_time,program_string,lr,epochs,width_or_height,result,exit_code,signal,hostname
1738678454,1738678481,27,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=1.1810705065727234e-06 --epochs=23 --width=30 --height=30,1.1810705065727234e-06,23,30,1.635057,0,None,arbeitsrechner
1738678487,1738678509,22,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=7.817769488319755e-05 --epochs=10 --width=71 --height=71,7.817769488319755e-05,10,71,0.137241,0,None,arbeitsrechner
1738678515,1738678541,26,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=5.147721339017153e-05 --epochs=26 --width=48 --height=48,5.147721339017153e-05,26,48,0.240777,0,None,arbeitsrechner
1738678546,1738678570,24,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=2.84859967418015e-05 --epochs=18 --width=53 --height=53,2.84859967418015e-05,18,53,0.535892,0,None,arbeitsrechner
1738678576,1738678614,38,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=3.814662955701351e-05 --epochs=29 --width=76 --height=76,3.814662955701351e-05,29,76,0.31295,0,None,arbeitsrechner
1738678619,1738678638,19,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=6.66065695695579e-05 --epochs=16 --width=26 --height=26,6.66065695695579e-05,16,26,0.710697,0,None,arbeitsrechner
1738678644,1738678670,26,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=8.80521534010768e-05 --epochs=22 --width=64 --height=64,8.80521534010768e-05,22,64,0.662243,0,None,arbeitsrechner
1738678676,1738678702,26,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=1.652425238862634e-05 --epochs=14 --width=38 --height=38,1.652425238862634e-05,14,38,1.00529,0,None,arbeitsrechner
1738678709,1738678741,32,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=2.023178478702903e-05 --epochs=27 --width=60 --height=60,2.023178478702903e-05,27,60,0.50693,0,None,arbeitsrechner
1738678748,1738678777,29,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=9.724056869745254e-05 --epochs=19 --width=41 --height=41,9.724056869745254e-05,19,41,0.171881,0,None,arbeitsrechner
1738678801,1738678823,22,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=9.458606292969721e-05 --epochs=10 --width=51 --height=51,9.458606292969721e-05,10,51,0.530834,0,None,arbeitsrechner
1738678840,1738678864,24,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=7.157362216314568e-05 --epochs=10 --width=78 --height=78,7.157362216314568e-05,10,78,0.977963,0,None,arbeitsrechner
1738678899,1738678920,21,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=8.708939073521865e-05 --epochs=24 --width=45 --height=45,8.708939073521865e-05,24,45,0.364944,0,None,arbeitsrechner
1738678951,1738678972,21,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=5.912588318412763e-05 --epochs=10 --width=69 --height=69,5.912588318412763e-05,10,69,0.17063,0,None,arbeitsrechner
1738678989,1738679003,14,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=9.673202822813998e-05 --epochs=10 --width=69 --height=69,9.673202822813998e-05,10,69,0.316395,0,None,arbeitsrechner
1738679029,1738679058,29,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=5.683172754390123e-05 --epochs=23 --width=71 --height=71,5.683172754390123e-05,23,71,0.066682,0,None,arbeitsrechner
1738679097,1738679133,36,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=1.526474602478125e-05 --epochs=27 --width=72 --height=72,1.526474602478125e-05,27,72,0.59535,0,None,arbeitsrechner
1738679161,1738679184,23,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=7.248605512842626e-05 --epochs=26 --width=70 --height=70,7.248605512842626e-05,26,70,0.37938,0,None,arbeitsrechner
1738679203,1738679220,17,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=5.711090776763208e-05 --epochs=17 --width=71 --height=71,5.711090776763208e-05,17,71,0.634402,0,None,arbeitsrechner
1738679251,1738679273,22,bash /home/s3811141/Dokumente/oo2/demo/run.sh --learning_rate=0.0001 --epochs=23 --width=72 --height=72,0.0001,23,72,0.708698,0,None,arbeitsrechner
