trial_index,arm_name,trial_status,generation_method,result,n_samples,confidence,feature_proportion,n_clusters
0,0_0,COMPLETED,Sobol,0.841681424800347466330663337430,697,0.010000000000000000208166817117,0.054493993520736694335937500000,2
1,1_0,COMPLETED,Sobol,0.851505329635446228664363843563,531,0.050000000000000002775557561563,0.089709608070552351866133733438,3
2,2_0,COMPLETED,Sobol,0.848598255755672159494906736654,165,0.050000000000000002775557561563,0.133431331813335413150056751874,1
3,3_0,COMPLETED,Sobol,0.841714839442643802946975029045,970,0.005000000000000000104083408559,0.180374011769890790768400279376,1
4,4_0,COMPLETED,Sobol,0.841848498011828816345314407954,164,0.001000000000000000020816681712,0.050916207581758500533286593281,2
5,5_0,COMPLETED,Sobol,0.844855815818491673319101664674,880,0.250000000000000000000000000000,0.032522250898182392120361328125,4
6,6_0,COMPLETED,Sobol,0.841013131954422399338966442883,156,0.010000000000000000208166817117,0.064752514474093914031982421875,1
7,7_0,COMPLETED,Sobol,0.849333377886189788696924551914,743,0.005000000000000000104083408559,0.050803099945187571440108342813,4
8,8_0,COMPLETED,Sobol,0.847562401844488277902200934477,401,0.010000000000000000208166817117,0.017815119586884975433349609375,3
9,9_0,COMPLETED,Sobol,0.849433621813078465478952239209,612,0.050000000000000002775557561563,0.028564392961561681921756061797,4
10,10_0,COMPLETED,Sobol,0.861228990543656203193734199886,267,0.050000000000000002775557561563,0.136976843513548385278255636877,3
11,11_0,COMPLETED,Sobol,0.842483376215457546720699610887,903,0.001000000000000000020816681712,0.168821467645466349871696820628,4
12,12_0,COMPLETED,Sobol,0.841982156581013829743653786863,545,0.010000000000000000208166817117,0.014081121794879436839864617070,1
13,13_0,COMPLETED,Sobol,0.850736792862632373868336799205,129,0.005000000000000000104083408559,0.124128070846199992094405217813,4
14,14_0,COMPLETED,Sobol,0.848330938617302132698227978835,269,0.005000000000000000104083408559,0.022765718959271909194175265156,3
15,15_0,COMPLETED,Sobol,0.838941424132054636153554838529,218,0.001000000000000000020816681712,0.153062728978693496362240011877,1
16,16_0,COMPLETED,Sobol,0.843151669061382724734698967950,916,0.050000000000000002775557561563,0.003580087795853614807128906250,3
17,17_0,COMPLETED,Sobol,0.843218498345975175922717426147,701,0.010000000000000000208166817117,0.053518407605588437514487765156,2
18,18_0,COMPLETED,Sobol,0.848097036121228331495558450115,187,0.010000000000000000208166817117,0.168143008649349223748714621252,4
19,19_0,COMPLETED,Sobol,0.844388010826344070913762607233,856,0.005000000000000000104083408559,0.150274576433002959863216574377,2
20,20_0,COMPLETED,BoTorch,0.842048985865606280931672245060,281,0.001000000000000000020816681712,0.095511931688158177577996355012,1
21,21_0,COMPLETED,BoTorch,0.843920205834196579530726012308,462,0.001000000000000000020816681712,0.168500437375803557848996661050,1
22,22_0,COMPLETED,BoTorch,0.850436061081966121477648812288,100,0.001000000000000000020816681712,0.116121120229294508274797692593,1
23,23_0,COMPLETED,BoTorch,0.850436061081966121477648812288,100,0.001000000000000000020816681712,0.049297150296263164692689429103,1
24,24_0,COMPLETED,BoTorch,0.850436061081966121477648812288,100,0.001000000000000000020816681712,0.196277381682319645994638790398,1
25,25_0,COMPLETED,BoTorch,0.846125572225749356114476995572,514,0.001000000000000000020816681712,0.111283680291679329399379128063,1
26,26_0,FAILED,BoTorch,,1000,0.100000000000000005551115123126,0.000000000000000000000000000000,1
27,27_0,COMPLETED,BoTorch,0.838172887359240781357527794171,1000,0.001000000000000000020816681712,0.078333816082492915833235258560,1
28,28_0,FAILED,BoTorch,,1000,0.001000000000000000020816681712,0.000000000000000000000000000000,1
29,29_0,FAILED,BoTorch,,100,0.001000000000000000020816681712,0.000000000000000000000000000000,1
30,30_0,COMPLETED,BoTorch,0.844454840110936633124083527946,411,0.001000000000000000020816681712,0.200000000000000011102230246252,1
31,31_0,COMPLETED,BoTorch,0.842483376215457546720699610887,1000,0.025000000000000001387778780781,0.082678555004395748451173631111,1
32,32_0,FAILED,BoTorch,,543,0.250000000000000000000000000000,0.000000000000000000000000000000,1
33,33_0,COMPLETED,BoTorch,0.836101179536873018172116189817,1000,0.050000000000000002775557561563,0.200000000000000011102230246252,1
34,34_0,COMPLETED,BoTorch,0.845290206168342939108129030501,100,0.001000000000000000020816681712,0.200000000000000011102230246252,2
35,35_0,COMPLETED,BoTorch,0.842884351923012697938020210131,1000,0.250000000000000000000000000000,0.116724986725779869556340884174,1
36,36_0,COMPLETED,BoTorch,0.844621913322417872116432135954,917,0.100000000000000005551115123126,0.039491857602488959766429132969,1
37,37_0,COMPLETED,BoTorch,0.840411668393089783535288006533,1000,0.001000000000000000020816681712,0.022693055889432149629936219526,2
38,38_0,FAILED,BoTorch,,100,0.100000000000000005551115123126,0.000000000000000000000000000000,1
39,39_0,COMPLETED,BoTorch,0.846559962575600621903504361399,491,0.001000000000000000020816681712,0.134851359300241835370570697705,1
40,40_0,FAILED,BoTorch,,1000,0.250000000000000000000000000000,0.000000000000000000000000000000,2
41,41_0,COMPLETED,BoTorch,0.842249473719383856540332544682,391,0.001000000000000000020816681712,0.088530554386544446643370065431,1
42,42_0,FAILED,BoTorch,,626,0.250000000000000000000000000000,0.000000000000000000000000000000,1
43,29_0,FAILED,BoTorch,,100,0.001000000000000000020816681712,0.000000000000000000000000000000,1
44,44_0,COMPLETED,BoTorch,0.836836301667390647374134005076,988,0.050000000000000002775557561563,0.200000000000000011102230246252,2
45,45_0,COMPLETED,BoTorch,0.850135329301299869086960825371,236,0.005000000000000000104083408559,0.163511983093401397360011628734,1
46,46_0,COMPLETED,BoTorch,0.843118254419086499140689738852,947,0.001000000000000000020816681712,0.044674076127555001347602114947,1
47,47_0,COMPLETED,BoTorch,0.840612156246867359143948306155,1000,0.001000000000000000020816681712,0.150188058050470196747028239770,2
48,48_0,COMPLETED,BoTorch,0.842483376215457546720699610887,1000,0.025000000000000001387778780781,0.200000000000000011102230246252,1
